date,number_of_cars,temperature,latitude,longitude,street
2023-01-01 00:00:00,11,-1,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
2023-01-01 01:00:00,32,2,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
2023-01-01 02:00:00,42,2,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
2023-01-01 03:00:00,15,8,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
2023-01-01 04:00:00,25,-5,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
2023-01-01 05:00:00,15,0,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
2023-01-01 06:00:00,1,8,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
2023-01-01 07:00:00,29,-5,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
2023-01-01 08:00:00,16,-2,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
2023-01-01 09:00:00,29,-4,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
2023-01-01 10:00:00,36,8,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
2023-01-01 11:00:00,29,-4,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
2023-01-01 12:00:00,0,3,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
2023-01-01 13:00:00,39,3,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
2023-01-01 14:00:00,22,-1,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
2023-01-01 15:00:00,2,2,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
2023-01-01 16:00:00,37,9,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
2023-01-01 17:00:00,48,-2,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
2023-01-01 18:00:00,19,6,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
2023-01-01 19:00:00,7,-1,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
2023-01-01 20:00:00,14,-2,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
2023-01-01 21:00:00,34,0,45.045901799999996,38.93860158420101,"Краснодар, ул Северная, 70"
